objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,898.jpg,,,ОБЕДЪ ЮНКЕРОВЪ Л. Гв. Коннаго Полка 24 Марта 1874 г.,"Impr. Artist. de W. Köhne & Co., Gr. Morskaia 32.",24.03.1874,"Hors d’oeuvres.
Huîtres.
Potages Tortue Américaine.
Purée Princesse.
Petits Pâtés assortis.
Turbot de la Manche, hollandaise.
Rosbaef Chipolata.
Jeunes Poulets Toulouse Truffés.
Sorbet au Kirch.
Rots:
Canetons de Rouen. Gibier.
Salade et Concombres frais.
Asperges en branches.
Deux sauces.
Surprises Maintenon.
Fruits.
Café.
",Huîtres; Purée; Petits Pâtés; Turbot; Rosbaef; Poulets; Sorbet; Canetons; Salade; Asperges; Fruits; Café,"Saint-Petersburg, Russia",59.94411088,30.34881383,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-898-XII,Image;StillImage,image/jpeg,ru; fr,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,900.jpg,,,"Меню обеда в Александровском дворце Царского Села 5 июля 1874 года, состоявщегося у цесаревича, присутствовал Эрцгерцог Альбрехт Австрийский",Типография И.Чуксина,05.07.1874,"5 Juillet.
Diner.
1. Potage printaniere et rassolnik.
2. Koulebiâki.
3. Sterlet au naturel.
4. Rostbeuf garni.
5. Pain d’ecrevisses.
6. Jeunes coqs de bruyére aux truffes.
7. Punch glacé.
8. Rots divers.
9. Choux fleurs.
10. Savarin au Marasquin et fraises.
11. Fruits.
12. Bonbons.
13. Glaces.
",Potage; Koulebiâki; Sterlet; Rosbaef; Pain; Coqs; Punch; Savarin; Marasquin; Fraises; Fruits; Bonbons; Glaces,"Saint-Petersburg, Russia",59.7212921,30.39271448,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-900-XII,Image;StillImage,image/jpeg,ru; fr,,
coll003,901.jpg,,,"Меню обеда 18 ноября 1874 года, состоявшегося у московского губернатора В.А.Долгорукова в честь великой княгини Александры Иосифовны",,18.11.1874,"Diner
Du 18 NOVEMBRE 1874.
POTAGES
Purée de volaille à la Reine.
Consommé à la Rachel.
HORS D’OEUVRES CHAUDS:
Rastégaîs à la russe, petits pâtés aux champignons,
Croquettes de gibier, petits vol-au-vents à la Monglas.
RELEVÉS :
Sterlets au vin de Champagne.
Dindonneaux à l’Impériale.
ENTRÉES :
Cotelettes de cailles à la Duchesse.
Chaud-froids de gélinottes, garnis de foies gras.
",Purée; Volaille; Consommé; Rastégaîs; Petits Pâtés; Croquettes; Vol-au-vents; Sterlet; Champagne; Dindonneaux; Cotelettes; Chaud-froids; Foies gras,"Moscow, Russia",55.74151467,37.59360884,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-901-XII,Image;StillImage,image/jpeg,ru; fr,,
coll004,903.jpg,,,"Меню обеда в гостинице ""Англия"" (Москва) 31 января 1875 года",,31.01.1875,"MENU
Huitres.
Potage Grand Duc Alexandre
Colbert au fumer de gibier.
Petits pâtés,
Turbot à la Chivry
Selle de Chevreuil, Jienoise
Poulets nouveaux, Sybarite
Asperges en branches.
Punch Florentin.
Faisan. Poutarde g Cailles rotis
Savarin Castiglione
Bombe à la Souveraine.
",Huitres; Potage; Colbert; Petits Pâtés; Turbot; Selle de Chevreuil; Poulets; Asperges; Punch; Faisan; Savarin; Bombe à la Souveraine,"Moscow, Russia",55.76370113,37.61699709,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-903-XII,Image;StillImage,image/jpeg,ru; fr,,
coll005,904.jpg,,,Меню обеда 25 ноября 1875 года во дворце княгини Марии Оболенской,,25.11.1875,"Dîner du 25 Novembre / 6 Décembre
Potage purée d’artichaut.
Timbalus croquettes.
Petits sterlets à la russe.
Rosbeef garni.
Côtelettes d’agneau aux champignons.
Pain de fièvre.
Roti poulardes et gelinatus.
Espinards aux croutons.
Pouding Nesselrode.
",Potage; Purée; Artichaut; Timbalus; Croquettes; Agneau; Champignons; Pain; Poulardes; Epinards; Croutons; Pouding,,59.93826726,30.30733841,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-904-XII,Image;StillImage,image/jpeg,ru; fr,,
coll006,905.jpg,,,,,,,,,59.93826726,30.30733841,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-905-XII,Image;StillImage,image/jpeg,ru; fr,,
coll007,911.jpg,,,,,,,,,59.93826726,30.30733841,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-911-XII,Image;StillImage,image/jpeg,ru; fr,,
coll008,1021.jpg,,,,,,,,,59.93826726,30.30733841,"Tsarskoe Selo Museum and Heritage site, Prints collection",ЕД-1021-XII,Image;StillImage,image/jpeg,ru; fr,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
